"occurrenceID","basisofRecord","organismScope","catalogNumber","otherCatalogNumbers","eventID","scientificName","taxonRank","identifiedBy","identificationQualifier","identificationRemarks","organismRemarks","individualCount","institutionID","associatedMedia","lifestage","sex","preparations","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","supergenus","genus","subgenus","species","subspecies","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geoReferenceProtocol","year","month","day","maximumDepthInMeters","minimumDepthInMeters","recordedBy","samplingProtocol","habitatGeomorphologicalZone","habitatSubstrate","habitatBiotic","eventTime","verbatimCoordinates","eventMedia"
"KB17-001","Specimen","organism","442175","AH9BJ17","KANF001","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","female","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,1,1,0.3,"Lynne Parenti| Claire Lager | Virginia Carter","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"10:15/11:15",NA,NA
"KB17-002","Specimen","organism","442176","AH9BJ18","KANF001","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,1,1,0.3,"Lynne Parenti| Claire Lager | Virginia Carter","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"10:15/11:15",NA,NA
"KB17-003","Specimen","organism","442177","AH9BJ19","KANF001","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","female","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,1,1,0.3,"Lynne Parenti| Claire Lager | Virginia Carter","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"10:15/11:15",NA,NA
"KB17-004","Specimen","organism","442178","AH9BJ20","KANF001","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","female","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,1,1,0.3,"Lynne Parenti| Claire Lager | Virginia Carter","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"10:15/11:15",NA,NA
"KB17-005","Specimen","organism","442179","AH9BJ34","KANF002","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,2,1,0.3,"Lynne Parenti| Claire Lager | Michael Henley","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"09:00/10:00",NA,NA
"KB17-006","Specimen","organism","442180","AH9BJ44","KANF002","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","female","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,2,1,0.3,"Lynne Parenti| Claire Lager | Michael Henley","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"09:00/10:00",NA,NA
"KB17-007","Specimen","organism","442181","AH9BJ45","KANF002","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,2,1,0.3,"Lynne Parenti| Claire Lager | Michael Henley","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"09:00/10:00",NA,NA
"KB17-008","Specimen","organism","442182","AH9BJ55","KANF002","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,2,1,0.3,"Lynne Parenti| Claire Lager | Michael Henley","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"09:00/10:00",NA,NA
"KB17-009","Specimen","organism","442183","AH9BJ64","KANF002","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,2,1,0.3,"Lynne Parenti| Claire Lager | Michael Henley","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"09:00/10:00",NA,NA
"KB17-010","Specimen","organism","442184","AH9BJ74","KANF002","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,2,1,0.3,"Lynne Parenti| Claire Lager | Michael Henley","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"09:00/10:00",NA,NA
